ZCTA5,STATE,PLACE,CLASSFP,GEOID,POPPT,HUPT,AREAPT,AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,PLPOP,PLHU,PLAREA,PLAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,PLPOPPCT,PLHUPCT,PLAREAPCT,PLAREALANDPCT
00738,72,43057,U1,7243057,1053,944,2067247,2050404,34922,18383,154956494,76243980,1053,944,2067247,2050404,3.02,5.14,1.33,2.69,100,100,100,100
00738,72,47701,U1,7247701,2290,975,3101442,3101442,34922,18383,154956494,76243980,2290,975,3101442,3101442,6.56,5.3,2,4.07,100,100,100,100
00739,72,06679,U1,7206679,2038,737,1495117,1495117,39678,15565,82906554,81792808,2038,737,1495117,1495117,5.14,4.73,1.8,1.83,100,100,100,100
00739,72,18074,U1,7218074,5109,2206,2901637,2877959,39678,15565,82906554,81792808,5109,2206,2901637,2877959,12.88,14.17,3.5,3.52,100,100,100,100
00739,72,59420,U1,7259420,1290,504,665000,665000,39678,15565,82906554,81792808,1290,504,665000,665000,3.25,3.24,0.8,0.81,100,100,100,100
00739,72,59425,U1,7259425,1265,497,1542285,1542285,39678,15565,82906554,81792808,1579,644,1664271,1664271,3.19,3.19,1.86,1.89,80.11,77.17,92.67,92.67
00739,72,71996,U1,7271996,325,139,996524,996524,39678,15565,82906554,81792808,325,139,996524,996524,0.82,0.89,1.2,1.22,100,100,100,100
00740,72,27964,U1,7227964,2071,1008,1144309,1103423,2071,1008,1144309,1103423,28930,14395,21191882,21069332,100,100,100,100,7.16,7,5.4,5.24
00741,72,66492,U1,7266492,4964,2190,3950663,3943750,4971,2196,8913858,6121151,4964,2190,4031565,4024652,99.86,99.73,44.32,64.43,100,100,97.99,97.99
00745,72,06421,U1,7206421,1311,559,479500,479500,55062,24529,139831239,133676216,1311,559,479500,479500,2.38,2.28,0.34,0.36,100,100,100,100
00745,72,33683,U1,7233683,2055,848,1533733,1533733,55062,24529,139831239,133676216,2055,848,1533733,1533733,3.73,3.46,1.1,1.15,100,100,100,100
00745,72,40348,U1,7240348,3081,1324,1708204,1708204,55062,24529,139831239,133676216,3081,1324,1708204,1708204,5.6,5.4,1.22,1.28,100,100,100,100
00745,72,58666,U1,7258666,1032,433,420202,420202,55062,24529,139831239,133676216,1032,433,420202,420202,1.87,1.77,0.3,0.31,100,100,100,100
00745,72,71136,U1,7271136,12677,5306,3372344,3372344,55062,24529,139831239,133676216,12677,5306,3580918,3580918,23.02,21.63,2.41,2.52,100,100,94.18,94.18
00751,72,18891,U1,7218891,5758,2353,4307911,4294141,23129,10808,151042738,121664561,5758,2353,4307911,4294141,24.9,21.77,2.85,3.53,100,100,100,100
00751,72,42197,U1,7242197,865,357,995346,981660,23129,10808,151042738,121664561,865,357,995346,981660,3.74,3.3,0.66,0.81,100,100,100,100
00751,72,44003,U1,7244003,951,513,1378270,1378215,23129,10808,151042738,121664561,951,513,1378270,1378215,4.11,4.75,0.91,1.13,100,100,100,100
00751,72,63503,U1,7263503,553,319,330091,330091,23129,10808,151042738,121664561,553,319,330091,330091,2.39,2.95,0.22,0.27,100,100,100,100
00751,72,74877,U1,7274877,4771,2326,2023729,2021336,23129,10808,151042738,121664561,4771,2326,2039012,2036619,20.63,21.52,1.34,1.66,100,100,99.25,99.25
00751,72,85111,U1,7285111,1890,834,3159910,3159910,23129,10808,151042738,121664561,1890,834,3159910,3159910,8.17,7.72,2.09,2.6,100,100,100,100
00754,72,37166,U1,7237166,1062,392,560406,560406,40828,17146,132406042,132164302,1062,392,560406,560406,2.6,2.29,0.42,0.42,100,100,100,100
00754,72,77027,U1,7277027,8037,3485,3541527,3504499,40828,17146,132406042,132164302,8037,3485,3541527,3504499,19.69,20.33,2.67,2.65,100,100,100,100
00757,72,25771,U1,7225771,1478,616,413842,413842,23263,9571,82856806,77246859,1478,616,413842,413842,6.35,6.44,0.5,0.54,100,100,100,100
00757,72,38241,U1,7238241,1529,675,1007906,950717,23263,9571,82856806,77246859,1529,675,1650177,1087870,6.57,7.05,1.22,1.23,100,100,61.08,87.39
00757,72,44089,U1,7244089,1557,664,687678,684095,23263,9571,82856806,77246859,1557,664,687678,684095,6.69,6.94,0.83,0.89,100,100,100,100
00757,72,51055,U1,7251055,73,34,148015,148015,23263,9571,82856806,77246859,2240,840,3851177,3851177,0.31,0.36,0.18,0.19,3.26,4.05,3.84,3.84
00757,72,59440,U1,7259440,941,382,1497342,1486064,23263,9571,82856806,77246859,941,382,1497342,1486064,4.05,3.99,1.81,1.92,100,100,100,100
00757,72,63568,U1,7263568,1731,731,4824325,2313450,23263,9571,82856806,77246859,1731,731,4923958,2313450,7.44,7.64,5.82,2.99,100,100,97.98,100
00757,72,78145,U1,7278145,5976,2563,2217535,2212600,23263,9571,82856806,77246859,5976,2563,2490237,2485302,25.69,26.78,2.68,2.86,100,100,89.05,89.03
00765,72,27190,U1,7227190,1219,689,3292450,3278866,9098,5339,51058972,49309561,1219,689,3292450,3278866,13.4,12.91,6.45,6.65,100,100,100,100
00765,72,86014,U1,7286014,1938,1173,1874768,1503377,9098,5339,51058972,49309561,1938,1173,2278584,1503377,21.3,21.97,3.67,3.05,100,100,82.28,100
00766,72,86831,U1,7286831,3384,1366,3094394,3094394,26488,9947,107440784,103701762,3384,1366,3094394,3094394,12.78,13.73,2.88,2.98,100,100,100,100
00767,72,19837,U1,7219837,1900,830,1618693,1618693,38019,15831,150306377,143501366,1900,830,1618693,1618693,5,5.24,1.08,1.13,100,100,100,100
00767,72,25685,U1,7225685,1075,454,824120,824120,38019,15831,150306377,143501366,1075,454,824120,824120,2.83,2.87,0.55,0.57,100,100,100,100
00767,72,51657,U1,7251657,2232,946,2366294,2366294,38019,15831,150306377,143501366,2232,946,2366294,2366294,5.87,5.98,1.57,1.65,100,100,100,100
00767,72,63525,U1,7263525,1558,614,1795974,1795974,38019,15831,150306377,143501366,1558,614,1795974,1795974,4.1,3.88,1.19,1.25,100,100,100,100
00767,72,72555,U1,7272555,1055,443,1128230,1128230,38019,15831,150306377,143501366,1055,443,1128230,1128230,2.77,2.8,0.75,0.79,100,100,100,100
00767,72,87863,U1,7287863,6047,2795,2983155,2982877,38019,15831,150306377,143501366,6047,2795,2983155,2982877,15.91,17.66,1.98,2.08,100,100,100,100
00769,72,18719,U1,7218719,11522,5011,4721853,4720208,40248,16612,198207392,198168393,11522,5011,4721853,4720208,28.63,30.16,2.38,2.38,100,100,100,100
00769,72,47013,U1,7247013,2118,933,2041859,2041859,40248,16612,198207392,198168393,2118,933,2041859,2041859,5.26,5.62,1.03,1.03,100,100,100,100
00769,72,51055,U1,7251055,2167,806,3703162,3703162,40248,16612,198207392,198168393,2240,840,3851177,3851177,5.38,4.85,1.87,1.87,96.74,95.95,96.16,96.16
00769,72,57978,U1,7257978,1090,442,1528856,1528856,40248,16612,198207392,198168393,1090,442,1528856,1528856,2.71,2.66,0.77,0.77,100,100,100,100
00771,72,08099,U1,7208099,1043,469,2831203,2826213,38394,16142,87623561,87591047,1043,469,2831203,2826213,2.72,2.91,3.23,3.23,100,100,100,100
00771,72,40563,U1,7240563,1057,472,1139120,1138721,38394,16142,87623561,87591047,2743,1165,2534842,2534443,2.75,2.92,1.3,1.3,38.53,40.52,44.94,44.93
00771,72,44390,U1,7244390,5883,2620,3012119,3012119,38394,16142,87623561,87591047,5883,2620,3012119,3012119,15.32,16.23,3.44,3.44,100,100,100,100
00771,72,64500,U1,7264500,1029,417,500342,500342,38394,16142,87623561,87591047,1310,523,657581,657581,2.68,2.58,0.57,0.57,78.55,79.73,76.09,76.09
00772,72,46368,U1,7246368,3875,1451,1698773,1337164,23105,10211,51615236,37975532,3875,1451,1698773,1337164,16.77,14.21,3.29,3.52,100,100,100,100
00772,72,80639,U1,7280639,1931,794,425837,425837,23105,10211,51615236,37975532,1931,794,425837,425837,8.36,7.78,0.83,1.12,100,100,100,100
00772,72,85971,U1,7285971,3316,1693,891110,890310,23105,10211,51615236,37975532,3316,1693,891110,890310,14.35,16.58,1.73,2.34,100,100,100,100
00773,72,47787,U1,7247787,7761,3556,3999046,2751357,20068,10968,65536492,62964008,7761,3556,4036397,2751357,38.67,32.42,6.1,4.37,100,100,99.07,100
00773,72,63310,U1,7263310,1690,888,2182726,1579089,20068,10968,65536492,62964008,1690,888,2182726,1579089,8.42,8.1,3.33,2.51,100,100,100,100
00773,72,68771,U1,7268771,1821,812,2837525,2837525,20068,10968,65536492,62964008,1821,812,2837525,2837525,9.07,7.4,4.33,4.51,100,100,100,100
00775,72,22589,U1,7222589,1560,1028,2227014,2073792,1786,1569,60782629,27344697,1590,1059,2702716,2112312,87.35,65.52,3.66,7.58,98.11,97.07,82.4,98.18
00777,72,25556,U1,7225556,1482,601,1303390,1303390,40684,16867,69172142,68844419,1482,601,1303390,1303390,3.64,3.56,1.88,1.89,100,100,100,100
00777,72,39574,U1,7239574,7564,3523,3389581,3353466,40684,16867,69172142,68844419,7564,3523,3389581,3353466,18.59,20.89,4.9,4.87,100,100,100,100
00777,72,46626,U1,7246626,66,24,55231,55231,40684,16867,69172142,68844419,956,395,885619,885619,0.16,0.14,0.08,0.08,6.9,6.08,6.24,6.24
00777,72,64500,U1,7264500,281,106,157239,157239,40684,16867,69172142,68844419,1310,523,657581,657581,0.69,0.63,0.23,0.23,21.45,20.27,23.91,23.91
00778,72,16440,U1,7216440,4081,1547,1741164,1731916,45429,18127,77893209,76776403,4081,1547,1741164,1731916,8.98,8.53,2.24,2.26,100,100,100,100
00778,72,32823,U1,7232823,7609,3304,3123286,3114752,45429,18127,77893209,76776403,7609,3304,3123286,3114752,16.75,18.23,4.01,4.06,100,100,100,100
00778,72,59386,U2,7259386,1568,662,348344,348344,45429,18127,77893209,76776403,1568,662,348344,348344,3.45,3.65,0.45,0.45,100,100,100,100
00780,72,03174,U2,7203174,287,91,160445,160445,13800,5295,52870908,52032587,287,91,160445,160445,2.08,1.72,0.3,0.31,100,100,100,100
00780,72,17050,U2,7217050,748,281,675760,667589,13800,5295,52870908,52032587,748,281,675760,667589,5.42,5.31,1.28,1.28,100,100,100,100
00780,72,21213,U1,7221213,3047,1204,975064,953381,13800,5295,52870908,52032587,3047,1204,975064,953381,22.08,22.74,1.84,1.83,100,100,100,100
00780,72,59422,U2,7259422,571,215,242671,242671,13800,5295,52870908,52032587,571,215,242671,242671,4.14,4.06,0.46,0.47,100,100,100,100
00780,72,63820,U1,7263820,1340,555,2376667,2353959,13800,5295,52870908,52032587,132502,57856,118492035,79272895,9.71,10.48,4.5,4.52,1.01,0.96,2.01,2.97
00782,72,19665,U1,7219665,4020,1625,1185315,1157065,19304,7535,69328497,69008763,4020,1625,1185315,1157065,20.82,21.57,1.71,1.68,100,100,100,100
