GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With a disability:,Margin of Error; Total: - With a disability:,Estimate; Total: - With a disability: - Male,Margin of Error; Total: - With a disability: - Male,Estimate; Total: - With a disability: - Female,Margin of Error; Total: - With a disability: - Female,Estimate; Total: - No disability:,Margin of Error; Total: - No disability:,Estimate; Total: - No disability: - Male,Margin of Error; Total: - No disability: - Male,Estimate; Total: - No disability: - Female,Margin of Error; Total: - No disability: - Female
8600000US53002,53002,ZCTA5 53002,40369,5287,41316,16159,26705,10790,48125,17351,40231,5786,46432,9488,22408,9431
8600000US53003,53003,ZCTA5 53003,40563,6047,-,**,-,**,-,**,40563,6047,-,**,-,**
8600000US53004,53004,ZCTA5 53004,32479,4670,12266,7116,16923,12188,10703,3140,35208,4314,40963,1796,26579,4846
8600000US53010,53010,ZCTA5 53010,34357,1583,17917,8884,28750,9275,11875,5295,34911,1447,41528,2271,28500,3050
8600000US53014,53014,ZCTA5 53014,34609,2153,24107,14594,33438,16411,21481,12964,35060,1942,41785,1509,25227,2776
8600000US53017,53017,ZCTA5 53017,41228,7067,22844,22075,24125,15638,"2,500-",***,45733,7006,61900,11200,31250,7378
8600000US53022,53022,ZCTA5 53022,42313,2283,24354,18176,39706,22519,20104,16646,43037,3106,50815,2016,37960,4361
8600000US53023,53023,ZCTA5 53023,36076,3747,26094,5336,17188,9835,30625,7949,36938,2590,41593,1883,30208,4882
8600000US53027,53027,ZCTA5 53027,36859,1993,20044,3512,21131,9224,19506,2948,37820,2324,48155,4534,29056,3234
8600000US53031,53031,ZCTA5 53031,-,**,-,**,-,**,-,**,-,**,-,**,-,**
8600000US53035,53035,ZCTA5 53035,31719,2964,25795,9457,24063,9460,28750,16686,32140,4006,42750,2209,24375,5933
8600000US53036,53036,ZCTA5 53036,37267,4715,41827,13836,41442,6670,-,**,36875,4604,44167,8778,31157,2723
8600000US53040,53040,ZCTA5 53040,32846,3985,30431,6231,32188,29636,30301,5021,33956,3971,46504,6070,23981,3000
8600000US53042,53042,ZCTA5 53042,32929,2581,37596,18159,43636,14378,22589,2041,32795,2504,40461,3518,26706,2906
8600000US53045,53045,ZCTA5 53045,49031,3711,51080,17894,53466,32343,36094,20493,48891,3744,71026,6002,33363,5187
8600000US53048,53048,ZCTA5 53048,32539,2471,23500,10295,25500,9543,18750,11011,33276,2786,37600,3037,27727,2871
8600000US53049,53049,ZCTA5 53049,35868,7858,30536,15905,46131,839,23482,22282,36632,8213,47717,3170,26494,4061
8600000US53057,53057,ZCTA5 53057,35686,1858,39000,13583,42500,18900,-,**,35539,1822,45234,6270,26964,6570
8600000US53059,53059,ZCTA5 53059,32644,1644,50250,12603,48438,26552,53333,5342,32407,1519,40850,5663,26250,3892
8600000US53061,53061,ZCTA5 53061,29684,3290,12250,6175,13864,12876,11650,4290,31714,4081,42342,4061,21682,1498
8600000US53065,53065,ZCTA5 53065,36157,1527,30000,6267,30938,2516,13125,11028,36566,1503,42361,3232,31444,1813
8600000US53066,53066,ZCTA5 53066,41213,1344,22617,8595,30081,15181,12596,8843,42092,1630,51763,2196,31764,2216
8600000US53069,53069,ZCTA5 53069,51776,27573,-,**,-,**,-,**,51776,27573,50691,11310,70391,33510
8600000US53070,53070,ZCTA5 53070,33139,2779,16875,4242,15813,6294,20924,4165,34332,3310,45143,4847,22400,4111
8600000US53072,53072,ZCTA5 53072,42354,2259,44894,7370,49706,9887,43560,7080,42091,2095,54558,6122,33647,2702
8600000US53073,53073,ZCTA5 53073,31722,1589,24509,6470,28516,9637,22386,7414,32037,1814,40876,3473,25556,3337
8600000US53074,53074,ZCTA5 53074,34724,2934,6836,4343,11208,5979,5651,2456,35827,2209,47138,4163,26691,4192
8600000US53081,53081,ZCTA5 53081,26530,1415,14653,3369,17326,7912,9985,4565,27156,1712,31980,1353,21679,1181
8600000US53085,53085,ZCTA5 53085,33266,2241,22543,8022,57500,29702,15982,9892,33871,2385,42567,3228,25516,2004
8600000US53090,53090,ZCTA5 53090,36313,985,24676,4455,30375,17283,23426,3923,36722,1037,45953,2953,28186,2438
8600000US53092,53092,ZCTA5 53092,47568,3114,31250,9833,43523,33216,30426,3999,48261,3196,76287,5601,29785,3122
8600000US53094,53094,ZCTA5 53094,28292,3189,16875,11565,26146,25384,12569,8172,29413,2947,36678,2293,23357,1611
8600000US53095,53095,ZCTA5 53095,33008,2411,20982,2241,18750,12089,21552,1508,34294,2669,45558,3996,25980,1680
8600000US53097,53097,ZCTA5 53097,41695,4187,6944,4995,"2,500-",***,10855,6119,43795,5103,62481,8732,26429,5154
8600000US53103,53103,ZCTA5 53103,39648,3238,33750,11319,40455,36677,16250,7306,40282,3137,50441,4612,30709,2198
8600000US53105,53105,ZCTA5 53105,32939,1939,28793,7354,32705,6060,20197,19900,33266,2243,40000,5394,29336,3169
8600000US53114,53114,ZCTA5 53114,26193,2474,23462,7187,27857,16817,22750,6291,26471,2319,31500,7306,24471,2110
8600000US53119,53119,ZCTA5 53119,39890,2021,22969,18952,36200,7272,15670,3781,40613,2040,53500,5966,36667,4710
8600000US53126,53126,ZCTA5 53126,35017,2638,26755,6530,26940,9676,26458,18851,35468,2532,42104,9005,29868,6983
8600000US53132,53132,ZCTA5 53132,43840,2356,28289,5786,31047,4427,25647,22710,44573,2402,54441,3668,36157,3480
8600000US53140,53140,ZCTA5 53140,21323,969,9126,5506,13580,12882,8385,2655,21685,1043,26093,2337,18508,2403
8600000US53144,53144,ZCTA5 53144,29982,2288,23378,12383,31734,23957,6726,3182,30387,2204,37903,2807,24531,5393
8600000US53146,53146,ZCTA5 53146,41006,8416,24948,9472,36767,16369,11591,5292,42386,9202,51477,5831,35125,10020
8600000US53147,53147,ZCTA5 53147,28820,3175,21146,9109,26481,10725,16463,2901,30115,2701,34688,3649,23558,3717
8600000US53150,53150,ZCTA5 53150,40262,1611,21741,11228,20658,11784,28750,18518,40656,1262,52376,1791,32301,1624
8600000US53151,53151,ZCTA5 53151,43810,2339,34148,14320,35469,22663,33807,13673,44412,2353,55785,4142,35235,3764
8600000US53154,53154,ZCTA5 53154,40585,1591,31250,10098,37473,10861,18409,13380,40893,1316,47894,2962,32542,3280
8600000US53156,53156,ZCTA5 53156,26858,3370,15972,9468,15972,12860,15972,10303,27943,4332,42321,7722,20649,3944
8600000US53158,53158,ZCTA5 53158,41827,3453,25857,10300,30536,20437,20833,9917,42561,4144,50577,3520,36092,7463
8600000US53167,53167,ZCTA5 53167,41903,8926,-,**,-,**,-,**,42108,10787,51495,10069,37679,35956
8600000US53170,53170,ZCTA5 53170,34196,5912,41250,35825,51250,37364,-,**,33750,5954,46583,11480,27963,6364
8600000US53172,53172,ZCTA5 53172,31754,1580,22292,5748,31325,6774,18333,5952,32206,2139,40427,2089,25949,2325
8600000US53183,53183,ZCTA5 53183,38860,6991,9884,7773,9560,6828,14444,2321,41221,8739,49357,8998,33188,5887
8600000US53184,53184,ZCTA5 53184,24554,1732,18594,6493,18125,8010,21250,11583,25645,1767,26685,4062,24415,2086
8600000US53186,53186,ZCTA5 53186,28882,2457,17131,5193,25865,8617,10417,3443,29884,2280,34730,5010,25845,1395
8600000US53189,53189,ZCTA5 53189,38958,3157,14952,10632,25043,17945,10417,5478,40108,2659,51680,2585,30620,2395
8600000US53190,53190,ZCTA5 53190,9827,1232,9904,5785,12686,8279,9167,5920,9823,1302,11296,1708,8201,1755
8600000US53191,53191,ZCTA5 53191,35161,6222,27475,4943,36500,4586,25725,10443,36680,7509,40588,10377,31596,7423
8600000US53192,53192,ZCTA5 53192,-,**,-,**,-,**,-,**,-,**,-,**,-,**
8600000US53202,53202,ZCTA5 53202,39376,1984,19576,11237,23681,19771,18877,6110,40102,1512,42202,1716,36651,3020
8600000US53204,53204,ZCTA5 53204,18810,1033,11698,1867,11321,2031,12453,6134,19515,1100,20655,1218,17828,1435
8600000US53205,53205,ZCTA5 53205,21244,1619,20046,6096,27188,14120,13500,11749,21411,1816,27663,5986,20215,2524
8600000US53206,53206,ZCTA5 53206,17666,1425,12196,4888,9375,8304,12793,4315,18209,1416,18958,1983,17734,1718
8600000US53207,53207,ZCTA5 53207,36036,1117,21038,8045,23667,14556,20250,9493,36687,1125,40383,1818,33864,2650
8600000US53209,53209,ZCTA5 53209,23925,2080,16176,6001,13467,3555,19154,6991,24734,1891,26697,3512,23315,1852
8600000US53210,53210,ZCTA5 53210,25380,1726,17201,5281,30302,13654,14594,2993,25813,1681,30021,3857,23761,2302
8600000US53211,53211,ZCTA5 53211,23435,2752,15216,6968,13320,6036,22955,18654,23724,2882,26381,4265,20589,3668
8600000US53212,53212,ZCTA5 53212,22782,1491,11515,3099,11731,5521,11332,5211,23460,1596,26064,1764,21485,1453
